id,raw_category,category,count,nyuClass,nyu40class,nyu40id,eigen13class,eigen13id,ours,ade20k,ade class,replicaid,replicaclass,ModelNet40,ModelNet10,ShapeNetCore55,synsetoffset,wnsynsetid,wnsynsetkey,mpcat40,mpcat40index,wn199,coco-panoptic-133,coco-panoptic-133-id,color
96,radiator,radiator,322,radiator,,,Furniture,6.0,radiator,146,radiator,,,,,,,n04041069,radiator.n.02,misc,40.0,31.0,,,18-163-194
22,book,book,318,book,books,23,Books,2.0,book,67,book,13,book,,,,,n02870526,book.n.11,objects,39.0,3.0,book,,192-229-91
29,kitchen cabinet,kitchen cabinet,310,cabinet,cabinet,3,Furniture,6.0,cabinet,"10,99","cabinet, buffet",2,base-cabinet,,,,,n02933112,cabinet.n.01,cabinet,7.0,4.0,cabinet-merged,,41-206-32
49,toilet paper,toilet paper,291,toilet paper,otherprop,40,Objects,7.0,toilet paper,,,,,,,,,n15075141,toilet_tissue.n.01,objects,39.0,32.0,,,37-230-205
29,kitchen cabinets,kitchen cabinet,289,cabinet,cabinet,3,Furniture,6.0,cabinet,"10,99","cabinet, buffet",2,base-cabinet,,,cabinet,2933112.0,n02933112,cabinet.n.01,cabinet,7.0,4.0,cabinet-merged,,41-206-32
23,armchair,armchair,281,"chair,sofa","chair,sofa","5,6",Chair,4.0,chair,30,armchair,20,chair,chair,chair,chair,3001627.0,n02738535,armchair.n.01,chair,3.0,26.0,,,88-218-137
63,shoes,shoe,272,shoe,otherprop,40,Objects,7.0,shoe,,,72,shoe,,,,,n04199027,shoe.n.01,clothes,38.0,33.0,,,10-125-140
24,coffee table,coffee table,258,coffee table,table,7,Table,10.0,table,"15,64","table, coffee table",80,table,table,table,table,4379243.0,n03063968,coffee_table.n.01,table,5.0,37.0,,,58-98-137
17,toilet,toilet,256,toilet,toilet,33,Objects,7.0,toilet,65,toilet,84,toilet,toilet,toilet,,,n04446276,toilet.n.02,toilet,18.0,38.0,toilet,,44-160-44
47,bag,bag,252,bag,bag,37,Objects,7.0,bag,115,bag,100,bag,,,suitcase,2773838.0,n02773838,bag.n.01,objects,39.0,34.0,,,169-137-78
32,clothes,clothes,248,clothes,clothes,21,Objects,7.0,clothes,92,apparel,24,clothing,,,,,n02728440,apparel.n.01,clothes,38.0,25.0,,,34-14-130
46,keyboard,keyboard,246,keyboard,otherprop,40,Objects,7.0,keyboard,,,27,computer-keyboard,keyboard,,computer keyboard,3085013.0,n03085013,computer_keyboard.n.01,objects,39.0,39.0,keyboard,,154-59-103
65,bottle,bottle,226,bottle,otherprop,40,Objects,7.0,bottle,98,bottle,14,bottle,bottle,,bottle,2876657.0,n02876657,bottle.n.01,objects,39.0,35.0,bottle,,191-28-135
97,recycling bin,recycling bin,225,garbage bin,otherfurniture,39,Furniture,6.0,container,138,ashcan,10,bin,,,trash_bin,2747177.0,n02747177,ashcan.n.01,objects,39.0,7.0,,,65-29-153
34,nightstand,nightstand,224,night stand,night stand,32,Furniture,6.0,table,,,54,nightstand,night_stand,night_stand,,,n03015254,chest_of_drawers.n.01,chest_of_drawers,13.0,24.0,,,137-63-14
38,stool,stool,221,stool,otherprop,40,Objects,7.0,chair,110,stool,78,stool,stool,,,,n04326896,stool.n.01,stool,19.0,41.0,,,90-119-201
33,tv,tv,219,television,television,25,TV,11.0,monitor,"141,130,143,89","crt screen, screen, monitor, television receiver","52,87","monitor, tv-screen",,,tv or monitor,3211117.0,n03211117,display.n.06,tv_monitor,22.0,11.0,tv,,143-45-115
75,file cabinet,file cabinet,217,cabinet,cabinet,3,Furniture,6.0,?,10,cabinet,18,cabinet,,,cabinet,2933112.0,n02933112,cabinet.n.01,cabinet,7.0,4.0,,,160-89-237
36,dresser,dresser,213,dresser,dresser,17,Furniture,6.0,?,44,chest of drawers,,,dresser,dresser,,,n03015254,chest_of_drawers.n.01,chest_of_drawers,13.0,24.0,,,16-212-139
64,computer tower,computer tower,203,computer,otherprop,40,Objects,7.0,tech,74,computer,36,desktop-computer,,,,,n03082979,computer.n.01,objects,39.0,42.0,,,76-38-202
32,clothing,clothes,165,clothes,clothes,21,Objects,7.0,clothes,92,apparel,24,clothing,,,,,n02728440,apparel.n.01,clothes,38.0,25.0,,,34-14-130
101,telephone,telephone,164,telephone,otherprop,40,Objects,7.0,tech,,,58,phone,,,telephone,4401088.0,n04401088,telephone.n.01,objects,39.0,44.0,,,18-199-153
130,cup,cup,157,cup,otherprop,40,Objects,7.0,cup,,,28,cup,cup,,cup or mug,3797390.0,n03797390,mug.n.04,objects,39.0,43.0,,,12-61-162
27,refrigerator,refrigerator,154,refridgerator,refridgerator,24,Furniture,6.0,refrigerator,50,refrigerator,67,refrigerator,,,,,n04070727,fridge.n.01,appliances,37.0,40.0,refrigerator,,255-127-14
44,end table,end table,147,table,table,7,Table,10.0,table,"15,64","table, coffee table",80,table,table,table,table,4379243.0,n04379243,table.n.02,table,5.0,8.0,,,38-100-128
131,jacket,jacket,146,jacket,otherprop,40,Objects,7.0,clothes,,,24,clothing,,,,,n03589791,jacket.n.01,clothes,38.0,46.0,,,124-66-140
55,shower curtain,shower curtain,144,shower curtain,shower curtain,28,Objects,7.0,curtain,,,30,curtain,curtain,,,,n04209239,shower_curtain.n.01,curtain,12.0,48.0,,,158-218-229
42,bathtub,bathtub,144,bathtub,bathtub,36,Objects,7.0,bathtub,37,bathtub,4,bathtub,bathtub,bathtub,tub,2808440.0,n02808440,bathtub.n.01,bathtub,25.0,47.0,,,227-119-194
59,microwave,microwave,141,microwave,,,Objects,7.0,microwave,124,microwave,51,microwave,,,microwave,3761084.0,n03761084,microwave.n.02,appliances,37.0,49.0,microwave,,208-193-72
159,kitchen counter,kitchen counter,140,counter,counter,12,Furniture,6.0,counter,"45,70","counter, countertop",33,countertop,table,table,table,4379243.0,n03116530,countertop.n.01,counter,26.0,36.0,,,56-144-89
74,sofa chair,sofa chair,129,,"sofa,chair","6,5",Chair,4.0,chair,30,armchair,20,chair,chair,chair,chair,3001627.0,n03001627,armchair.n.01,chair,3.0,26.0,,,35-107-149
82,paper towel dispenser,paper towel dispenser,129,paper towel dispenser,otherprop,40,Objects,7.0,,,,57,paper-towel,,,,,,,objects,39.0,,,,253-59-222
1164,bathroom vanity,bathroom vanity,126,cabinet,cabinet,3,Furniture,6.0,cabinet,10,cabinet,"2,18","base-cabinet, cabinet",,,cabinet,2933112.0,n02933112,cabinet.n.01,table,5.0,4.0,,,144-19-193
93,suitcase,suitcase,118,luggage,otherprop,40,Objects,7.0,bag,,,100,bag,,,,,n02773838,baggage.n.01,objects,39.0,51.0,,,213-208-88
77,laptop,laptop,111,laptop,otherprop,40,Objects,7.0,laptop,74,computer,48,laptop,laptop,,laptop,3642806.0,n03642806,laptop.n.01,objects,39.0,52.0,,,169-143-81
67,ottoman,ottoman,111,ottoman,otherfurniture,39,Furniture,6.0,chair,97,ottoman,78,stool,stool,,,,n03380724,footstool.n.01,stool,19.0,50.0,laptop,,118-174-76
128,shower walls,shower wall,109,wall,wall,1,Wall,12.0,wall,,,73,shower-stall,,,,,n04546855,wall.n.01,wall,1.0,1.0,,,106-231-176
50,printer,printer,106,printer,otherprop,40,Objects,7.0,tech,,,,,,,printer,4004475.0,n04004475,printer.n.03,appliances,37.0,53.0,,,14-16-155
35,counter,counter,104,counter,counter,12,Furniture,6.0,counter,"45,70","counter, countertop",33,countertop,table,table,table,4379243.0,n03116530,countertop.n.01,counter,26.0,36.0,,,23-190-207
69,board,board,100,board,otherstructure,38,Objects,7.0,?,,,,,,,,,,,board_panel,35.0,,,,20-65-247
100,soap dispenser,soap dispenser,99,,otherprop,40,Objects,7.0,,,,,,,,,,n04254120,soap_dispenser.n.01,objects,39.0,55.0,,,83-175-30
62,stove,stove,95,stove,,,Objects,7.0,stove,71,stove,"32,49","cooktop, major-appliance",,,stove,4330267.0,n04330267,stove.n.01,appliances,37.0,56.0,,,55-220-57
105,light,light,93,light,lamp,35,Objects,7.0,light,82,light,47,lamp,,,,,n03665366,light.n.02,lighting,28.0,45.0,light,,161-192-38
1165,closet wall,closet wall,90,wall,wall,1,Wall,12.0,wall,,,93,wall,,,,,n04546855,wall.n.01,wall,1.0,1.0,,,166-36-57
165,mini fridge,mini fridge,87,refridgerator,refridgerator,24,Furniture,6.0,refrigerator,50,refrigerator,67,refrigerator,,,,,n03273913,fridge.n.01,appliances,37.0,40.0,,,139-18-53
7,cabinets,cabinet,79,cabinet,cabinet,3,Furniture,6.0,cabinet,10,cabinet,"18,94","cabinet, wall-cabinet",,,cabinet,2933112.0,n02933112,cabinet.n.01,cabinet,7.0,4.0,,,31-119-180
5,doors,door,76,door,door,8,Wall,12.0,door,"14,58","door, screen door",37,door,door,,,,n03221720,door.n.01,door,4.0,5.0,door-stuff,,214-39-40
76,fan,fan,75,fan,otherprop,40,Objects,7.0,fan,139,fan,,,,,,,n03320046,fan.n.01,misc,40.0,57.0,,,227-56-125
230,tissue box,tissue box,73,tissue box,otherprop,40,Objects,7.0,box,,,15,box,,,,,n02883344,box.n.01,objects,39.0,13.0,,,77-208-35
54,blanket,blanket,72,blanket,otherprop,40,Objects,7.0,fabric,131,blanket,"11,26","blanket, comforter",,,,,n02849154,blanket.n.01,objects,39.0,62.0,,,138-175-62
125,bathroom stall,bathroom stall,71,,otherstructure,38,Objects,7.0,?,,,,,,,,,n02873839,booth.n.02,misc,40.0,63.0,,,97-144-39
72,copier,copier,70,,otherprop,40,Objects,7.0,tech,,,,,,,,,n03257586,duplicator.n.01,appliances,37.0,64.0,,,210-235-62
68,bench,bench,66,bench,otherfurniture,39,Furniture,6.0,bench,69,bench,8,bench,bench,,bench,2828884.0,n02828884,bench.n.01,seating,34.0,60.0,bench,,17-242-171
145,bar,bar,66,bar,otherstructure,38,Objects,7.0,?,77,bar,,,,,,,n02788689,bar.n.03,misc,40.0,65.0,,,139-248-91
157,soap dish,soap dish,65,soap dish,otherprop,40,Objects,7.0,?,,,,,,,,,n04254009,soap_dish.n.01,objects,39.0,66.0,,,141-182-25
1166,laundry hamper,laundry hamper,65,laundry basket,otherprop,40,Objects,7.0,container,112,basket,3,basket,,,,,,,objects,39.0,,,,212-202-34
132,storage bin,storage bin,63,storage bin,otherprop,40,Objects,7.0,container,,,10,bin,,,,,,,objects,39.0,,,,137-66-73
1167,bathroom stall door,bathroom stall door,62,door,door,8,Wall,12.0,door,"14,58","door, screen door",37,door,door,,,,n03221720,door.n.01,door,4.0,5.0,door-stuff,,23-206-34
232,light switch,light switch,61,light switch,otherstructure,38,Objects,7.0,?,,,79,switch,,,,,n04372370,switch.n.01,misc,40.0,67.0,,,72-183-168
134,coffee maker,coffee maker,61,,otherprop,40,Objects,7.0,cooking,,,"46,75","kitchen-utensil, small-appliance",,,,,n03063338,coffee_maker.n.01,appliances,37.0,68.0,,,250-253-26
51,tv stand,tv stand,61,tv stand,otherfurniture,39,Furniture,6.0,,,,88,tv-stand,tv_stand,,,,,stand.n.04,furniture,36.0,59.0,,,196-51-182
250,decoration,decoration,60,,otherprop,40,Objects,7.0,decor,,,,,,,,,n03169390,decoration.n.01,misc,40.0,69.0,,,155-64-40
1168,ceiling light,ceiling light,59,light,lamp,35,Objects,7.0,light,82,light,47,lamp,,,,,n03665366,light.n.02,lighting,28.0,45.0,,,91-211-236
342,range hood,range hood,59,range hood,otherstructure,38,Objects,7.0,?,133,hood,,,range_hood,,,,n04053677,range_hood.n.01,misc,40.0,70.0,,,133-240-52
89,blackboard,blackboard,58,blackboard,otherstructure,38,Objects,7.0,?,,,56,panel,,,,,n02846511,blackboard.n.01,board_panel,35.0,71.0,,,134-16-179
103,clock,clock,58,clock,otherprop,40,Objects,7.0,clock,148,clock,22,clock,,,clock,3046257.0,n03046257,clock.n.01,objects,39.0,72.0,clock,,213-85-216
99,wardrobe closet,wardrobe,54,wardrobe,otherfurniture,39,Furniture,6.0,?,35,wardrobe,96,wardrobe,wardrobe,,,,n04550184,wardrobe.n.01,furniture,36.0,61.0,,,152-83-7
95,rail,rail,53,railing,otherstructure,38,Objects,7.0,rail,"38,95","railing, bannister",43,handrail,,,,,n04047401,railing.n.01,railing,30.0,73.0,,,64-158-70
154,bulletin board,bulletin board,53,board,otherstructure,38,Objects,7.0,?,144,bulletin board,56,panel,,,,,n03211616,,board_panel,35.0,,,,63-69-134
140,mat,mat,52,floor mat,floor mat,20,Floor,5.0,?,28,rug,50,mat,,,,,n03727837,mat.n.01,floor,2.0,74.0,,,184-58-125
1169,trash bin,trash bin,52,garbage bin,otherfurniture,39,Furniture,6.0,container,138,ashcan,10,bin,,,trash_bin,2747177.0,n02747177,ashcan.n.01,objects,39.0,7.0,,,79-55-137
193,ledge,ledge,51,,otherstructure,38,Objects,7.0,?,,,,,,,,,,,misc,40.0,,,,129-43-144
116,seat,seat,49,furniture,otherfurniture,39,Furniture,6.0,?,31,seat,,,,,,,n04161981,seat.n.03,furniture,36.0,75.0,,,50-138-38
202,mouse,mouse,49,mouse,otherprop,40,Objects,7.0,tech,,,53,mouse,,,,,n03793489,mouse.n.04,objects,39.0,78.0,,,187-196-73
73,basket,basket,48,basket,otherprop,40,Objects,7.0,container,112,basket,3,basket,,,basket,2801938.0,n02801938,basket.n.01,objects,39.0,81.0,mouse,,45-152-72
78,shower,shower,48,,,,Objects,7.0,?,145,shower,73,shower-stall,,,,,,shower_stall.n.01,shower,23.0,54.0,,,42-143-20
1170,dumbbell,dumbbell,48,,otherprop,40,Objects,7.0,,,,,,,,,,n03255030,dumbbell.n.01,objects,39.0,82.0,,,182-19-117
79,paper,paper,46,paper,paper,26,Objects,7.0,?,,,,,,,,,n14974264,paper.n.01,objects,39.0,58.0,paper,,25-160-151
80,person,person,46,person,person,31,Objects,7.0,person,12,person,,,person,,,,n05217688,person.n.02,misc,40.0,79.0,person,,82-75-227
141,windowsill,windowsill,45,,otherstructure,38,Objects,7.0,,,,,,,,,,n04590263,windowsill.n.01,window,9.0,85.0,,,135-84-14
57,closet,closet,45,wardrobe,otherfurniture,39,Furniture,6.0,cupboard,,,96,wardrobe,wardrobe,,,,,,misc,40.0,,,,190-77-246
102,bucket,bucket,45,bucket,otherprop,40,Objects,7.0,container,,,,,,,,,n02909870,bucket.n.01,misc,40.0,84.0,,,61-81-208
261,sign,sign,44,sign,otherprop,40,Objects,7.0,decor,43,signboard,,,,,,,n04217882,signboard.n.01,objects,39.0,86.0,,,118-159-30
118,speaker,speaker,43,speaker,otherprop,40,Objects,7.0,tech,,,,,,,speaker,3691459.0,n03691459,loudspeaker.n.01,objects,39.0,88.0,,,31-237-236
136,dishwasher,dishwasher,43,dishwasher,,,Objects,7.0,,129,dishwasher,49,major-appliance,,,dishwasher,3207941.0,n03207941,dishwasher.n.01,appliances,37.0,87.0,,,55-191-73
98,container,container,43,container,otherprop,40,Objects,7.0,container,,,,,,,,,n03094503,container.n.01,objects,39.0,77.0,,,177-10-109
1171,stair rail,stair rail,42,banister,otherstructure,38,Objects,7.0,rail,"95,38","bannister, railing",43,handrail,,,,,n02788148,bannister.n.02,railing,30.0,76.0,,,134-76-14
170,shower curtain rod,shower curtain rod,42,,otherprop,40,Objects,7.0,rail,,,30,curtain,,,,,,,curtain,12.0,,,,44-21-163
1172,tube,tube,41,,otherprop,40,Objects,7.0,?,,,,,,,,,,,misc,40.0,,,,87-185-28
1173,bathroom cabinet,bathroom cabinet,39,cabinet,cabinet,3,Furniture,6.0,cabinet,10,cabinet,"2,18","base-cabinet, cabinet",,,cabinet,2933112.0,n02933112,cabinet.n.01,cabinet,7.0,4.0,,,82-224-187
79,papers,paper,39,paper,paper,26,Objects,7.0,?,,,,,,,,,n14974264,paper.n.01,objects,39.0,58.0,paper,,25-160-151
221,storage container,storage container,39,container,otherprop,40,Objects,7.0,box?,,,,,,,,,,,objects,39.0,,,,187-50-115
570,paper bag,paper bag,39,bag,bag,37,Objects,7.0,bag,115,bag,100,bag,,,,,n04122825,sack.n.01,objects,39.0,93.0,,,60-205-27
138,paper towel roll,paper towel roll,39,paper towel,otherprop,40,Objects,7.0,?,,,57,paper-towel,,,,,n03887697,paper_towel.n.01,towel,20.0,90.0,,,60-126-146
168,ball,ball,39,ball,otherprop,40,Objects,7.0,,119,ball,,,,,,,,,objects,39.0,,ball,,49-165-42
276,closet doors,closet door,38,door,door,8,Wall,12.0,door or closet?,"14,58","door, screen door",37,door,door,,,,n03221720,door.n.01,door,4.0,5.0,door-stuff,,45-103-173
106,laundry basket,laundry basket,37,laundry basket,otherprop,40,Objects,7.0,container,112,basket,3,basket,,,basket,2801938.0,n03050864,clothes_hamper.n.01,objects,39.0,91.0,,,23-241-91
214,cart,cart,37,cart,otherprop,40,Objects,7.0,?,,,,,,,,,n03484083,handcart.n.01,shelving,31.0,94.0,,,128-76-202
276,closet door,closet door,35,door,door,8,Wall,12.0,door?,"14,58","door, screen door",37,door,door,,,,n03221720,door.n.01,door,4.0,5.0,door-stuff,,45-103-173
323,dish rack,dish rack,35,dish rack,otherprop,40,Objects,7.0,,,,,,,,,,n03207630,dish_rack.n.01,objects,39.0,96.0,,,66-32-182
58,stairs,stairs,35,stairs,otherstructure,38,Objects,7.0,stairs,"53,59","stairs, stairway",77,stair,,,,,n04298308,stairway.n.01,stairs,16.0,80.0,,,208-49-84
86,blinds,blinds,35,blinds,blinds,13,Window,13.0,curtain,63,blind,12,blinds,,,,,n02851099,blind.n.03,blinds,32.0,95.0,,,123-172-47
2,stack of chairs,chair,35,chair,chair,5,Chair,4.0,chair,19,chair,20,chair,chair,chair,chair,3001627.0,n03001627,chair.n.01,chair,3.0,2.0,,,188-189-34
399,purse,purse,34,purse,otherprop,40,Objects,7.0,bag,115,bag,41,handbag,,,,,n02774152,bag.n.04,objects,39.0,98.0,,,227-254-54
121,bicycle,bicycle,33,bicycle,otherprop,40,Objects,7.0,bicycle,127,bicycle,9,bike,,,bicycle,2834778.0,n02834778,bicycle.n.01,objects,39.0,99.0,bicycle,,223-27-180
185,tray,tray,32,tray,otherprop,40,Objects,7.0,?,137,tray,,,,,,,n04476259,tray.n.01,objects,39.0,102.0,,,116-217-17
300,plunger,plunger,30,,otherprop,40,Objects,7.0,,,,,,,,,,n03970156,plunger.n.03,objects,39.0,105.0,,,188-174-67
180,paper cutter,paper cutter,30,paper cutter,otherprop,40,Objects,7.0,,,,,,,,,,n03886940,paper_cutter.n.01,objects,39.0,104.0,,,176-102-54
163,toilet paper dispenser,toilet paper dispenser,29,,otherprop,40,Objects,7.0,toilet paper,,,,,,,,,,,objects,39.0,,,,182-86-245
26,boxes,box,29,box,box,29,Objects,7.0,box,41,box,15,box,,,,,n02883344,box.n.01,objects,39.0,13.0,,,177-82-239
66,bin,bin,28,bin,otherprop,40,Objects,7.0,container,,,10,bin,,,,,,ashcan.n.01,objects,39.0,7.0,,,211-120-42
208,toilet seat cover dispenser,toilet seat cover dispenser,28,,otherprop,40,Objects,7.0,,,,84,toilet,,,,,,,objects,39.0,,,,13-158-40
112,guitar,guitar,28,guitar,otherprop,40,Objects,7.0,,,,,,guitar,,guitar,3467517.0,n03467517,guitar.n.01,objects,39.0,107.0,,,133-51-80
540,mailboxes,mailbox,28,box,box,29,Objects,7.0,,41,box,15,box,,,mailbox,3710193.0,n03710193,mailbox.n.01,misc,40.0,97.0,,,229-32-114
395,handicap bar,handicap bar,27,bar,otherstructure,38,Objects,7.0,,,,,,,,,,,,misc,40.0,,,,191-52-49
166,fire extinguisher,fire extinguisher,27,fire extinguisher,otherprop,40,Objects,7.0,,,,,,,,,,n03345837,fire_extinguisher.n.01,misc,40.0,108.0,,,134-120-54
122,ladder,ladder,27,ladder,otherfurniture,39,Furniture,6.0,,,,77,stair,stairs,,,,n03632277,ladder.n.01,stairs,16.0,100.0,,,254-141-85
120,column,column,26,column,otherstructure,38,Objects,7.0,,42,column,,,,,,,n03074380,column.n.07,column,24.0,83.0,,,39-19-208
107,pipe,pipe,25,pipe,otherprop,40,Objects,7.0,,,,62,pipe,,,,,n03944672,pipe.n.02,misc,40.0,110.0,,,12-103-170
283,vacuum cleaner,vacuum cleaner,25,,otherprop,40,Objects,7.0,,,,,,,,,,n04517823,vacuum.n.04,objects,39.0,112.0,,,111-38-149
88,plate,plate,24,plate,otherprop,40,Objects,7.0,,142,plate,64,plate,,,,,n03959485,plate.n.04,objects,39.0,111.0,,,24-94-205
90,piano,piano,24,piano,otherfurniture,39,Furniture,6.0,,,,,,piano,,piano,3928116.0,n03928116,piano.n.01,furniture,36.0,92.0,,,159-32-52
177,water cooler,water cooler,24,water cooler,otherfurniture,39,Furniture,6.0,,,,46,kitchen-utensil,,,,,n04559166,water_cooler.n.01,misc,40.0,116.0,,,232-93-193
1174,cd case,cd case,24,,otherprop,40,Objects,7.0,,,,,,,,,,,,objects,39.0,,,,92-110-214
562,bowl,bowl,24,bowl,otherprop,40,Objects,7.0,,,,16,bowl,bowl,,bowl,2880940.0,n02880940,bowl.n.03,objects,39.0,113.0,,,158-119-28
1175,closet rod,closet rod,24,,otherprop,40,Objects,7.0,,,,,,,,,,n04100174,rod.n.01,misc,40.0,115.0,,,168-80-171
1156,bathroom counter,bathroom counter,24,counter,counter,12,Furniture,6.0,counter,"45,70","counter, countertop",33,countertop,table,table,table,4379243.0,n03116530,countertop.n.01,counter,26.0,36.0,,,95-220-156
84,oven,oven,23,oven,,,Objects,7.0,,118,oven,49,major-appliance,,,,,n03862676,oven.n.01,appliances,37.0,118.0,oven,,240-130-89
104,stand,stand,23,stand,otherfurniture,39,Furniture,6.0,,15,table,80,table,table,table,table,4379243.0,n04301000,stand.n.04,table,5.0,59.0,,,170-53-42
229,scale,scale,23,scale,otherprop,40,Objects,7.0,,,,,,,,,,n04141975,scale.n.07,objects,39.0,119.0,,,180-141-71
70,washing machine,washing machine,23,washing machine,,,Furniture,6.0,,107,washer,49,major-appliance,,,washing_machine,4554684.0,n04554684,washer.n.03,appliances,37.0,89.0,,,208-61-222
325,broom,broom,22,broom,otherprop,40,Objects,7.0,,,,,,,,,,n02906734,broom.n.01,objects,39.0,120.0,,,236-114-195
169,hat,hat,22,hat,otherprop,40,Objects,7.0,clothes,,,24,clothing,,,,,n03497657,hat.n.01,clothes,38.0,114.0,,,51-128-133
